transaction_id,account_id,customer_name,email,income_band,country,province,city,postal_code,account_type,transaction_type,transaction_amount,currency,merchant_name,merchant_category,payment_method,transaction_date,balance_before,balance_after,is_international,exchange_rate,is_fraud,device_type,recurring_payment,month,day_of_week,Month Name,Credit_vs_Debit,Fraud_Flag,Net_Change
TXN-000015,ACC-97900,Name_4228,user6967@example.com,Upper-Mid,Canada,British Columbia,Surrey,S1N 9N1,Credit,Debit,3.58,CAD,Merchant_461,Utilities,Direct Debit,12/26/2025 6:45,13794.06,13790.48,FALSE,,TRUE,POS,FALSE,12,Friday,December,Debit,Fraud,-3.58
TXN-000016,ACC-66346,Name_6279,user8618@example.com,Lower-Mid,Canada,Alberta,Red Deer,T7J 8V2,Credit,Credit,11.45,CAD,Merchant_44,Utilities,Direct Debit,8/27/2025 18:12,1971.56,1983.01,FALSE,,FALSE,Mobile,FALSE,8,Wednesday,August,Credit,Clean,11.45
TXN-000017,ACC-60328,Name_9099,user7547@example.com,Lower-Mid,Canada,Quebec,Laval,K2A 1S3,Checking,Debit,7.29,CAD,Merchant_412,Healthcare,Card,1/13/2026 15:44,1015.74,1008.44,FALSE,,FALSE,POS,FALSE,1,Tuesday,January,Debit,Clean,-7.3
TXN-000018,ACC-81810,Name_8305,user3607@example.com,Low,Canada,Ontario,Ottawa,V7L 3L8,Savings,Credit,27.5,CAD,Merchant_321,Travel,Direct Debit,12/8/2025 22:52,1036.36,1063.86,FALSE,,FALSE,Web,TRUE,12,Monday,December,Credit,Clean,27.5
TXN-000019,ACC-18161,Name_4388,user7883@example.com,Lower-Mid,Canada,British Columbia,Vancouver,R9A 9R7,Checking,Debit,8.1,CAD,Merchant_483,Salary,Direct Debit,12/27/2025 23:25,2390.53,2382.43,TRUE,1.23,FALSE,Web,FALSE,12,Saturday,December,Debit,Clean,-8.1
TXN-000020,ACC-61645,Name_1444,user2375@example.com,Lower-Mid,Canada,Quebec,Quebec City,S2T 2B4,Savings,Debit,4.89,CAD,Merchant_168,Travel,Wire,2/7/2026 2:00,601.59,596.69,FALSE,,FALSE,Web,FALSE,2,Saturday,February,Debit,Clean,-4.9
TXN-000021,ACC-14067,Name_5051,user4266@example.com,Upper-Mid,Canada,Alberta,Edmonton,A9G 3G7,Credit,Credit,86.98,CAD,Merchant_59,Travel,Wire,2/21/2026 10:47,3232.6,3319.58,FALSE,,FALSE,POS,FALSE,2,Saturday,February,Credit,Clean,86.98
TXN-000022,ACC-35995,Name_2245,user4978@example.com,Mid,Canada,British Columbia,Vancouver,E4E 9B5,Credit,Debit,16.03,CAD,Merchant_220,Salary,Card,10/3/2025 21:44,6444.54,6428.52,FALSE,,FALSE,POS,FALSE,10,Friday,October,Debit,Clean,-16.02
TXN-000023,ACC-80539,Name_8921,user8616@example.com,Upper-Mid,Canada,Ontario,Ottawa,S9L 5K1,Savings,Credit,21.49,CAD,Merchant_452,Healthcare,Transfer,2/21/2026 17:38,12944.49,12965.98,FALSE,,FALSE,Web,FALSE,2,Saturday,February,Credit,Clean,21.49
TXN-000024,ACC-63271,Name_9004,user4937@example.com,Low,Canada,Alberta,Edmonton,V7T 0C4,Checking,Credit,4.83,CAD,Merchant_208,Travel,Direct Debit,6/30/2025 11:14,1731.72,1736.55,FALSE,,FALSE,POS,FALSE,6,Monday,June,Credit,Clean,4.83
TXN-000025,ACC-80236,Name_4033,user4138@example.com,Mid,Canada,Alberta,Red Deer,J7L 9X9,Savings,Credit,11.65,CAD,Merchant_52,Travel,Direct Debit,9/2/2025 12:46,3315.54,3327.19,FALSE,,FALSE,Mobile,FALSE,9,Tuesday,September,Credit,Clean,11.65
TXN-000026,ACC-67733,Name_6582,user4020@example.com,Upper-Mid,Canada,British Columbia,Vancouver,B4V 1C6,Savings,Credit,22.44,CAD,Merchant_38,Groceries,Transfer,8/18/2025 0:29,6505.64,6528.08,FALSE,,TRUE,Mobile,FALSE,8,Monday,August,Credit,Fraud,22.44
TXN-000027,ACC-84531,Name_1986,user2625@example.com,High,Canada,British Columbia,Vancouver,J3L 1H3,Checking,Credit,6.35,CAD,Merchant_283,Rent,Transfer,1/20/2026 22:18,17478.86,17485.21,FALSE,,FALSE,Mobile,FALSE,1,Tuesday,January,Credit,Clean,6.35
TXN-000028,ACC-25043,Name_9922,user4683@example.com,Low,Canada,Alberta,Edmonton,G4G 1B2,Savings,Credit,29.24,CAD,Merchant_305,Utilities,Wire,2/26/2026 15:26,718.59,747.83,FALSE,,FALSE,Mobile,FALSE,2,Thursday,February,Credit,Clean,29.24
TXN-000029,ACC-85392,Name_1339,user5415@example.com,Lower-Mid,Canada,British Columbia,Surrey,B2V 8T4,Checking,Credit,11.02,CAD,Merchant_300,Entertainment,Wire,7/21/2025 6:52,2389.94,2400.95,FALSE,,FALSE,Mobile,FALSE,7,Monday,July,Credit,Clean,11.01
TXN-000030,ACC-43082,Name_6296,user2899@example.com,Lower-Mid,Canada,Alberta,Edmonton,R8A 8T6,Checking,Credit,15,CAD,Merchant_97,Salary,Wire,11/12/2025 11:19,1062.89,1077.89,FALSE,,FALSE,POS,FALSE,11,Wednesday,November,Credit,Clean,15
TXN-000031,ACC-22217,Name_4681,user2858@example.com,Lower-Mid,Canada,Ontario,Toronto,T1G 7M8,Credit,Debit,11,CAD,Merchant_140,Entertainment,Wire,4/2/2025 2:25,1508.1,1497.1,FALSE,,FALSE,Web,FALSE,4,Wednesday,April,Debit,Clean,-11
TXN-000032,ACC-49132,Name_9022,user3434@example.com,Low,Canada,Quebec,Quebec City,T8V 5N8,Credit,Credit,128.03,CAD,Merchant_194,Healthcare,Direct Debit,8/8/2025 9:17,1278.88,1406.91,FALSE,,FALSE,Mobile,FALSE,8,Friday,August,Credit,Clean,128.03
TXN-000033,ACC-14852,Name_3068,user9229@example.com,Lower-Mid,Canada,Quebec,Laval,N1T 1X7,Checking,Credit,19.82,CAD,Merchant_370,Dining,Wire,2/21/2026 13:30,1937.71,1957.53,FALSE,,FALSE,POS,FALSE,2,Saturday,February,Credit,Clean,19.82
TXN-000034,ACC-90931,Name_2121,user4846@example.com,Upper-Mid,Canada,Ontario,Ottawa,M3C 6E1,Savings,Credit,6.97,CAD,Merchant_86,Utilities,Card,11/30/2025 2:01,3963.78,3970.76,FALSE,,FALSE,Mobile,FALSE,11,Sunday,November,Credit,Clean,6.98
TXN-000035,ACC-75230,Name_3344,user4804@example.com,Lower-Mid,Canada,Ontario,Ottawa,T4T 4A7,Savings,Debit,45.72,CAD,Merchant_347,Dining,Card,2/6/2026 6:14,1354.69,1308.97,FALSE,,FALSE,Web,FALSE,2,Friday,February,Debit,Clean,-45.72
TXN-000036,ACC-48696,Name_1359,user7484@example.com,High,Canada,British Columbia,Surrey,L0B 9V4,Checking,Debit,5.92,CAD,Merchant_311,Salary,Transfer,1/13/2026 18:43,43840.09,43834.16,FALSE,,FALSE,POS,TRUE,1,Tuesday,January,Debit,Clean,-5.93
TXN-000037,ACC-27224,Name_2476,user5835@example.com,Upper-Mid,Canada,British Columbia,Surrey,N6H 3G8,Savings,Debit,24.75,CAD,Merchant_272,Utilities,Transfer,1/15/2026 20:45,4165.97,4141.22,FALSE,,FALSE,Web,FALSE,1,Thursday,January,Debit,Clean,-24.75
TXN-000038,ACC-61717,Name_1228,user5332@example.com,Upper-Mid,Canada,Alberta,Edmonton,Y1T 5L9,Savings,Credit,2.83,CAD,Merchant_422,Salary,Card,9/28/2025 11:49,4689.08,4691.91,FALSE,,FALSE,POS,FALSE,9,Sunday,September,Credit,Clean,2.83
TXN-000039,ACC-74569,Name_2902,user2592@example.com,Upper-Mid,Canada,Ontario,Mississauga,K8G 6T5,Credit,Credit,5.32,CAD,Merchant_487,Entertainment,Transfer,4/17/2025 10:18,3758.6,3763.93,FALSE,,FALSE,Web,FALSE,4,Thursday,April,Credit,Clean,5.33
TXN-000040,ACC-17936,Name_7523,user5520@example.com,Lower-Mid,Canada,Alberta,Red Deer,J1T 1J9,Checking,Credit,24.46,CAD,Merchant_26,Salary,Transfer,12/29/2025 5:21,614.51,638.96,FALSE,,FALSE,Mobile,FALSE,12,Monday,December,Credit,Clean,24.45
TXN-000041,ACC-32871,Name_2801,user1422@example.com,Upper-Mid,Canada,Quebec,Montreal,G0P 3N0,Checking,Debit,42.03,CAD,Merchant_136,Groceries,Transfer,5/31/2025 2:15,5795.98,5753.95,FALSE,,FALSE,POS,FALSE,5,Saturday,May,Debit,Clean,-42.03
TXN-000042,ACC-70036,Name_1510,user1996@example.com,Low,Canada,Ontario,Mississauga,V6S 1V7,Checking,Debit,23.84,CAD,Merchant_461,Rent,Direct Debit,2/26/2026 1:18,1006.9,983.06,FALSE,,FALSE,POS,TRUE,2,Thursday,February,Debit,Clean,-23.84
TXN-000043,ACC-82264,Name_4522,user8046@example.com,Mid,Canada,Quebec,Quebec City,T3S 5T6,Savings,Credit,17.89,CAD,Merchant_374,Rent,Direct Debit,2/24/2026 5:55,3666.33,3684.22,FALSE,,FALSE,Web,FALSE,2,Tuesday,February,Credit,Clean,17.89
TXN-000044,ACC-53207,Name_3002,user7730@example.com,High,Canada,British Columbia,Victoria,P6B 4M5,Checking,Credit,14.86,CAD,Merchant_296,Travel,Transfer,1/20/2026 2:34,26138.81,26153.68,FALSE,,FALSE,POS,FALSE,1,Tuesday,January,Credit,Clean,14.87
TXN-000045,ACC-33647,Name_5477,user6062@example.com,Upper-Mid,Canada,Ontario,Ottawa,N5A 2G9,Credit,Debit,4.58,CAD,Merchant_206,Rent,Transfer,3/15/2026 17:00,12686.66,12682.08,FALSE,,FALSE,POS,FALSE,3,Sunday,March,Debit,Clean,-4.58
TXN-000046,ACC-20693,Name_5458,user8259@example.com,Upper-Mid,Canada,Ontario,Toronto,S7T 6L3,Credit,Debit,9.78,CAD,Merchant_59,Salary,Wire,2/4/2026 10:42,7440.64,7430.86,FALSE,,FALSE,Mobile,FALSE,2,Wednesday,February,Debit,Clean,-9.78
TXN-000047,ACC-11013,Name_9149,user8055@example.com,Mid,Canada,Alberta,Red Deer,H2R 8K8,Credit,Debit,12.67,CAD,Merchant_427,Salary,Card,8/20/2025 19:06,5195.27,5182.6,FALSE,,FALSE,Web,FALSE,8,Wednesday,August,Debit,Clean,-12.67
TXN-000048,ACC-91018,Name_8538,user6928@example.com,Low,Canada,Ontario,Ottawa,C6E 3S9,Savings,Credit,57.81,CAD,Merchant_269,Rent,Wire,9/7/2025 14:50,1858.09,1915.9,FALSE,,FALSE,Web,FALSE,9,Sunday,September,Credit,Clean,57.81
TXN-000049,ACC-29194,Name_5193,user4232@example.com,Upper-Mid,Canada,Quebec,Quebec City,H9G 1H7,Savings,Credit,28.32,CAD,Merchant_387,Healthcare,Direct Debit,6/8/2025 16:05,5326.84,5355.17,FALSE,,FALSE,POS,FALSE,6,Sunday,June,Credit,Clean,28.33
TXN-000050,ACC-21835,Name_9307,user7299@example.com,Mid,Canada,Alberta,Calgary,T9Y 0T9,Credit,Credit,3.45,CAD,Merchant_97,Salary,Wire,8/18/2025 11:40,5139.94,5143.38,FALSE,,FALSE,POS,TRUE,8,Monday,August,Credit,Clean,3.44
TXN-000051,ACC-30807,Name_6962,user7108@example.com,Low,Canada,Ontario,Ottawa,M6S 5B5,Checking,Debit,27.77,CAD,Merchant_169,Rent,Wire,12/19/2025 1:38,1818.43,1790.65,FALSE,,FALSE,Web,FALSE,12,Friday,December,Debit,Clean,-27.78
TXN-000052,ACC-94343,Name_6381,user3093@example.com,Low,Canada,Quebec,Quebec City,X1S 8P0,Savings,Debit,13.67,CAD,Merchant_159,Dining,Transfer,8/31/2025 2:23,1394.5,1380.84,FALSE,,FALSE,Web,FALSE,8,Sunday,August,Debit,Clean,-13.66
TXN-000053,ACC-59377,Name_3527,user3658@example.com,Lower-Mid,Canada,Alberta,Calgary,H9H 7B6,Savings,Debit,10.21,CAD,Merchant_347,Travel,Wire,2/4/2026 13:37,770.08,759.87,FALSE,,FALSE,POS,FALSE,2,Wednesday,February,Debit,Clean,-10.21
TXN-000054,ACC-64874,Name_3655,user4271@example.com,Mid,Canada,Alberta,Calgary,G4B 7P8,Checking,Credit,37.03,CAD,Merchant_365,Rent,Direct Debit,10/7/2025 1:32,4283.11,4320.14,FALSE,,FALSE,Mobile,FALSE,10,Tuesday,October,Credit,Clean,37.03
TXN-000055,ACC-40903,Name_7326,user2337@example.com,High,Canada,British Columbia,Victoria,P3A 5E5,Checking,Credit,56.32,CAD,Merchant_71,Groceries,Direct Debit,10/14/2025 1:22,26947.38,27003.69,FALSE,,FALSE,Web,FALSE,10,Tuesday,October,Credit,Clean,56.31
TXN-000056,ACC-41252,Name_7878,user8489@example.com,Mid,Canada,Quebec,Laval,C1V 9Y0,Credit,Credit,50.97,CAD,Merchant_264,Travel,Transfer,8/26/2025 12:02,1133.03,1184,FALSE,,FALSE,Web,FALSE,8,Tuesday,August,Credit,Clean,50.97
TXN-000057,ACC-43246,Name_1266,user6850@example.com,Mid,Canada,British Columbia,Vancouver,C5K 1N2,Checking,Debit,8.68,CAD,Merchant_181,Salary,Transfer,2/13/2026 21:22,4664.39,4655.71,FALSE,,FALSE,POS,FALSE,2,Friday,February,Debit,Clean,-8.68
TXN-000058,ACC-81176,Name_8756,user5150@example.com,Low,Canada,Alberta,Red Deer,B3M 5B5,Savings,Debit,14.74,CAD,Merchant_64,Salary,Wire,8/31/2025 1:24,442.73,427.99,FALSE,,FALSE,Web,FALSE,8,Sunday,August,Debit,Clean,-14.74
TXN-000059,ACC-52101,Name_2680,user2311@example.com,High,Canada,Alberta,Edmonton,N4M 7S2,Credit,Credit,27.97,CAD,Merchant_228,Salary,Wire,6/26/2025 2:17,41648.22,41676.19,FALSE,,FALSE,Mobile,FALSE,6,Thursday,June,Credit,Clean,27.97
TXN-000060,ACC-89635,Name_8179,user1570@example.com,High,Canada,British Columbia,Surrey,G1K 5P6,Credit,Credit,53.28,CAD,Merchant_17,Dining,Wire,6/14/2025 9:08,34775.53,34828.81,FALSE,,FALSE,Web,FALSE,6,Saturday,June,Credit,Clean,53.28
TXN-000061,ACC-44116,Name_8311,user4515@example.com,Low,Canada,Ontario,Mississauga,M7J 1G1,Savings,Debit,12.44,CAD,Merchant_89,Healthcare,Card,1/6/2026 12:15,860.51,848.07,FALSE,,FALSE,POS,FALSE,1,Tuesday,January,Debit,Clean,-12.44
TXN-000062,ACC-28202,Name_4878,user9094@example.com,Lower-Mid,Canada,British Columbia,Surrey,A5Y 9P7,Credit,Debit,16.68,CAD,Merchant_67,Rent,Card,5/26/2025 15:49,2397.6,2380.92,FALSE,,FALSE,Web,FALSE,5,Monday,May,Debit,Clean,-16.68
TXN-000063,ACC-33850,Name_3114,user8088@example.com,Lower-Mid,Canada,Alberta,Red Deer,X0E 8G4,Checking,Credit,6.64,CAD,Merchant_83,Salary,Transfer,1/2/2026 5:36,2512.15,2518.8,FALSE,,FALSE,Web,FALSE,1,Friday,January,Credit,Clean,6.65
TXN-000064,ACC-89316,Name_6531,user1674@example.com,Lower-Mid,Canada,British Columbia,Vancouver,A1B 9L3,Credit,Debit,6.07,CAD,Merchant_214,Groceries,Wire,6/21/2025 6:38,2427.94,2421.87,FALSE,,FALSE,POS,FALSE,6,Saturday,June,Debit,Clean,-6.07
TXN-000065,ACC-51853,Name_6658,user7532@example.com,Lower-Mid,Canada,British Columbia,Victoria,G5X 8E5,Checking,Credit,45.26,CAD,Merchant_239,Rent,Direct Debit,1/29/2026 13:19,1921.32,1966.59,FALSE,,FALSE,Web,FALSE,1,Thursday,January,Credit,Clean,45.27
TXN-000066,ACC-77466,Name_8648,user9171@example.com,Lower-Mid,Canada,Ontario,Toronto,M7A 1R8,Savings,Credit,77.96,CAD,Merchant_495,Travel,Transfer,6/30/2025 14:30,2653.82,2731.78,FALSE,,FALSE,POS,FALSE,6,Monday,June,Credit,Clean,77.96
TXN-000067,ACC-15930,Name_7563,user1838@example.com,Mid,Canada,Ontario,Ottawa,Y3P 8M1,Savings,Credit,18.69,CAD,Merchant_259,Healthcare,Direct Debit,9/28/2025 21:22,4294.11,4312.8,FALSE,,FALSE,POS,FALSE,9,Sunday,September,Credit,Clean,18.69
TXN-000068,ACC-27961,Name_6456,user8761@example.com,High,Canada,Ontario,Toronto,X7G 9X2,Savings,Debit,54.79,CAD,Merchant_477,Salary,Transfer,4/14/2025 10:01,39708.54,39653.75,FALSE,,FALSE,Web,FALSE,4,Monday,April,Debit,Clean,-54.79
TXN-000069,ACC-92478,Name_1436,user8775@example.com,Lower-Mid,Canada,British Columbia,Surrey,L9K 0V2,Credit,Credit,28.84,CAD,Merchant_323,Entertainment,Transfer,10/25/2025 3:18,2363.19,2392.03,FALSE,,FALSE,POS,FALSE,10,Saturday,October,Credit,Clean,28.84
TXN-000070,ACC-77984,Name_4397,user6325@example.com,Low,Canada,Ontario,Toronto,V8R 5H7,Credit,Credit,10.54,CAD,Merchant_176,Salary,Direct Debit,4/26/2025 7:07,764.65,775.18,FALSE,,FALSE,POS,FALSE,4,Saturday,April,Credit,Clean,10.53
TXN-000071,ACC-85166,Name_9899,user7220@example.com,Mid,Canada,Quebec,Quebec City,R5G 4B4,Credit,Credit,28.83,CAD,Merchant_41,Salary,Wire,8/12/2025 18:06,3083.3,3112.13,FALSE,,FALSE,POS,FALSE,8,Tuesday,August,Credit,Clean,28.83
TXN-000072,ACC-40518,Name_1860,user2641@example.com,Lower-Mid,Canada,Alberta,Calgary,S5V 1G0,Credit,Debit,93.51,CAD,Merchant_476,Dining,Wire,12/21/2025 16:39,3765.58,3672.08,FALSE,,FALSE,POS,FALSE,12,Sunday,December,Debit,Clean,-93.5
TXN-000073,ACC-33040,Name_1595,user7504@example.com,Mid,Canada,Alberta,Edmonton,V2M 0A4,Credit,Debit,19.38,CAD,Merchant_309,Rent,Direct Debit,4/13/2025 14:25,2997.91,2978.53,FALSE,,FALSE,Web,FALSE,4,Sunday,April,Debit,Clean,-19.38
TXN-000074,ACC-98395,Name_4164,user3875@example.com,Upper-Mid,Canada,Alberta,Calgary,R6X 5C6,Credit,Credit,96.03,CAD,Merchant_49,Dining,Transfer,9/13/2025 18:35,4949.93,5045.96,FALSE,,TRUE,Web,FALSE,9,Saturday,September,Credit,Fraud,96.03
TXN-000075,ACC-25495,Name_8625,user6026@example.com,Lower-Mid,Canada,Quebec,Montreal,H6X 4E4,Savings,Debit,1.46,CAD,Merchant_315,Travel,Transfer,7/23/2025 10:41,3138.15,3136.69,FALSE,,FALSE,Mobile,FALSE,7,Wednesday,July,Debit,Clean,-1.46
TXN-000076,ACC-68556,Name_9653,user6927@example.com,High,Canada,Alberta,Red Deer,C9E 0Y8,Checking,Debit,45.69,CAD,Merchant_294,Dining,Transfer,1/24/2026 11:32,41683.79,41638.1,FALSE,,FALSE,Web,FALSE,1,Saturday,January,Debit,Clean,-45.69
TXN-000077,ACC-98181,Name_6049,user1356@example.com,Mid,Canada,Alberta,Calgary,R4A 3C0,Savings,Debit,21.91,CAD,Merchant_177,Rent,Card,4/24/2025 2:28,7292.23,7270.31,FALSE,,FALSE,Mobile,FALSE,4,Thursday,April,Debit,Clean,-21.92
TXN-000078,ACC-99486,Name_9835,user3178@example.com,Lower-Mid,Canada,Alberta,Calgary,P1H 8R8,Checking,Credit,14.89,CAD,Merchant_373,Travel,Card,10/4/2025 21:04,974,988.9,FALSE,,FALSE,Mobile,FALSE,10,Saturday,October,Credit,Clean,14.9
TXN-000079,ACC-96533,Name_7868,user1256@example.com,Upper-Mid,Canada,Alberta,Red Deer,K3C 1B7,Credit,Debit,22.02,CAD,Merchant_345,Groceries,Transfer,5/21/2025 10:50,8527.5,8505.49,FALSE,,FALSE,POS,TRUE,5,Wednesday,May,Debit,Clean,-22.01
TXN-000080,ACC-28777,Name_9540,user4621@example.com,Mid,Canada,Alberta,Calgary,S4L 0Y9,Credit,Credit,2.75,CAD,Merchant_467,Dining,Wire,9/5/2025 16:18,1980.95,1983.7,FALSE,,FALSE,POS,FALSE,9,Friday,September,Credit,Clean,2.75
TXN-000081,ACC-70689,Name_1944,user7761@example.com,Mid,Canada,British Columbia,Surrey,S8X 2R3,Savings,Credit,16.12,CAD,Merchant_105,Salary,Card,3/22/2026 13:50,3914.27,3930.4,FALSE,,FALSE,Web,FALSE,3,Sunday,March,Credit,Clean,16.13
TXN-000082,ACC-72835,Name_4422,user6455@example.com,Upper-Mid,Canada,Ontario,Mississauga,M0J 3E7,Checking,Debit,28.71,CAD,Merchant_357,Travel,Wire,3/4/2026 2:12,10235.06,10206.36,FALSE,,FALSE,Mobile,FALSE,3,Wednesday,March,Debit,Clean,-28.7
TXN-000083,ACC-64254,Name_1749,user4625@example.com,Mid,Canada,British Columbia,Victoria,G0L 8S4,Checking,Credit,88.05,CAD,Merchant_101,Salary,Transfer,7/7/2025 20:19,3517.51,3605.56,FALSE,,FALSE,Web,FALSE,7,Monday,July,Credit,Clean,88.05
TXN-000084,ACC-81636,Name_9000,user4015@example.com,Mid,Canada,Quebec,Quebec City,Y0X 0C0,Checking,Credit,11.96,CAD,Merchant_212,Dining,Transfer,9/21/2025 14:07,6343.52,6355.49,FALSE,,FALSE,Mobile,FALSE,9,Sunday,September,Credit,Clean,11.97
TXN-000085,ACC-79391,Name_5501,user9777@example.com,Mid,Canada,Ontario,Toronto,M0X 6H1,Checking,Credit,8.95,CAD,Merchant_269,Dining,Transfer,10/21/2025 9:00,5667.28,5676.23,TRUE,0.83,FALSE,POS,FALSE,10,Tuesday,October,Credit,Clean,8.95
TXN-000086,ACC-14152,Name_2531,user7640@example.com,Upper-Mid,Canada,British Columbia,Victoria,R6Y 7B0,Credit,Credit,12.16,CAD,Merchant_88,Rent,Wire,2/23/2026 5:47,5918.49,5930.66,FALSE,,FALSE,Web,FALSE,2,Monday,February,Credit,Clean,12.17
TXN-000087,ACC-81176,Name_1539,user3938@example.com,High,Canada,British Columbia,Surrey,N0J 9G6,Checking,Credit,50.17,CAD,Merchant_154,Dining,Transfer,3/10/2026 17:56,45853.46,45903.63,FALSE,,FALSE,POS,FALSE,3,Tuesday,March,Credit,Clean,50.17
TXN-000088,ACC-90460,Name_7499,user6347@example.com,Upper-Mid,Canada,Alberta,Red Deer,A4T 7K5,Credit,Credit,27.9,CAD,Merchant_482,Entertainment,Wire,5/2/2025 19:37,14861.74,14889.64,TRUE,0.83,FALSE,POS,FALSE,5,Friday,May,Credit,Clean,27.9
TXN-000089,ACC-50405,Name_8286,user6896@example.com,Lower-Mid,Canada,Ontario,Mississauga,L1G 1H6,Savings,Debit,11.83,CAD,Merchant_286,Entertainment,Card,5/18/2025 10:59,757.27,745.45,FALSE,,FALSE,Mobile,TRUE,5,Sunday,May,Debit,Clean,-11.82
TXN-000090,ACC-45247,Name_5933,user5397@example.com,Mid,Canada,Ontario,Mississauga,V2C 2S4,Savings,Debit,33.56,CAD,Merchant_154,Healthcare,Card,10/5/2025 14:07,3042.93,3009.37,FALSE,,FALSE,Web,FALSE,10,Sunday,October,Debit,Clean,-33.56
